Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Autres Informations Personne Morale\Statut de revue des documents LEI;\Univers\Univers\Univers\Concept\Terme métier;Etat de validation des documents fournis par l'entreprise dans le cadre de son enregistrement auprès de GLEIF. Les différents statuts possibles sont PENDING (les informations sont en cours de revue), FULLY CORROBORATED (les informations fournies sont suffisantes, validées et coïncides avecles données des autorités locales), PARTIALLY CORROBORATED (certaines informations ne peuvent pas être vérifiées auprès des autorités locales), ENTITY SUPPLIED ONLY (les informations fournies ne proviennent que de l'entrprise faisant la démarche et n'ont pas été vérifiées).;76ce1d13-ccb4-4325-b740-8536dfee9d51;GLEIF document review status;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Notation du contrat - Eléments de risque\Statut de risque;\Univers\Univers\Univers\Univers\Terme métier;"Il est procédé à une distinction entre les encours sains, les encours restructurés, les encours douteux et douteux compromis.
Le classement des opérations de crédit s’appuie sur la notion de risque de crédit avéré. Le risque est avéré dès lors qu’il est probable qu’une partie des sommes dues par une contrepartie ne sera pas perçue et que cette probabilité de perte est associée à l’une des situations suivantes :
• il existe un ou plusieurs impayés depuis trois mois au moins ;
• l’établissement a connaissance de la situation financière dégradée de la contrepartie, laquelle se traduit par un risque de non recouvrement ;
• il existe des procédures contentieuses entre l’établissement et sa contrepartie.";2e35988a-1170-4fa2-abc7-38b4a55d4ce5;Risk Status Code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Garantie\Statut Décaissement Mise en Jeu;\Univers\Univers\Univers\Concept\Terme métier;Etat du décaissement (au profit de la banque partenaire) à la date de début de version : Décaissé, Remboursé totalement, Remboursé partiellement, Annulé.;89a2f583-b9b6-49a5-814f-857aee6a1f50;Guarantee Activation Payment Status;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Garantie\Statut décaissement vie saine;\Univers\Univers\Univers\Concept\Terme métier;Etat du décaissement pendant la vie saine de la garantie (Décaissé, Remboursé Totalement, Annulé);1039478b-2490-4d33-9b60-d6b559e4a0eb;Guarantee Payment Status;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Dépense éligible\Statut dépense;\Univers\Univers\Univers\Univers\Terme métier;"Dans le cadre d'une subvention, le statut de la dépense indique l’état d’approbation de la dépense par Bpifrance. Par exemple, une dépense peut être retenue (acceptée) ou refusée selon les critères d’éligibilité et d’évaluation de Bpifrance.
L'Aide totale variant par rapport à un % des des dépenses éligibles selon la catégorie d'entreprise. 
Aucune dépense engagée antérieurement à la date de dépôt de la demande d’aide ne peut être retenue.";0cb81132-5194-4f7a-abcc-a1e1e5e342e3;Expense status;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Dépense éligible\Statut dépense libellé;\Univers\Univers\Univers\Univers\Terme métier;"Dans le cadre d'une subvention, le statut de la dépense indique l’état d’approbation de la dépense par Bpifrance. Par exemple, une dépense peut être retenue (acceptée) ou refusée selon les critères d’éligibilité et d’évaluation de Bpifrance.
Statut dépense : Retenu
Statut dépense libellé : Dépense retenue";31830e25-811e-43f6-adc2-5cf770bb8e6b;Expense status label;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Statut des travaux;\Univers\Univers\Univers\Concept\Terme métier;"Etat d'avancement des travaux effectués sur un bien immobilier. Ces travaux ont nécessairement fait l'objet d'une autorisation d'urbanisme. 
Exemples : 
autorisé : la demande d'autorisation d'urbanisme a été validée donc les travaux sont autorisés,
annulé,
commencé, 
terminé.";cfd07037-f6b8-4d5f-ae11-4e3487b92195;Asset work status;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Statuts dossier\Statut dossier;\Univers\Univers\Univers\Concept\Terme métier;"Correspond au statut du dossier à date : 
Demande
Abandon
Attente
Etude
Rejet
Accord
...";86654165-5864-4a1c-8b61-c198fddced34;Business Case Status;
\Modèle Objets Métier - MOM\Tiers\Structuration\Bénéficiaires effectifs\Statut du bénéficiaire effectif;\Univers\Univers\Univers\Concept\Terme métier;Le statut défini si le bénéficiaire effectif est actif ou non actif;de7516ae-541b-4f30-b738-3791304e6a5c;is Active Beneficial Owner;
\Modèle Objets Métier - MOM\Contrat\Intervenants\Intervenant collaborateur\Statut du collaborateur;\Univers\Univers\Univers\Univers\Terme métier;Il s'agit du statut du gestionnaire sur le contrat : Actif / inactif;4fae1e9e-1f3b-4c30-a4fc-9ec7b7926c48;Customer agreement employee status;
\Modèle Objets Métier - MOM\Ressource Financière OSR\Sous-fonds\Caractéristiques descriptives\Statut du compartiment;\Univers\Univers\Univers\Concept\Terme métier;;22c88507-731d-41c0-8c8f-e5e4644601b9;Compartment Status;
\Modèle Objets Métier - MOM\Compte\Caractéristiques générales\Caractéristiques descriptives\Statut du compte;\Univers\Univers\Univers\Concept\Terme métier;Le statut du compte à date. Les valeurs peuvent être : Actif, ouvert, clôturé,...;048040b3-d766-4c43-ae57-c3d1fda4842e;User account status;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Statuts dossier\Statut du contrôle;\Univers\Univers\Univers\Concept\Terme métier;"Le Statut du contrôle définit si le contrôle CP1 est réalisé ou pas
Le contrôle peut être ne pas être réalisé dans le cas ou le dossier n'est pas concerné";6a0bf25b-3aaf-4586-81a5-300ec98ab909;Control Status;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Statut du DIUO;\Univers\Univers\Univers\Concept\Terme métier;Dossier d'intervention ultérieur sur l'ouvrage : document établi lors de la construction détaillant toutes les informations liées à la réalisation de cette construction dans l'éventualité qu'une entreprise interviendrait ultérieurement pour réaliser des travaux;43df84eb-a7a5-41bf-8d2f-b3ac166f8399;Record of subsequent intervention on the work;
\Modèle Objets Métier - MOM\Contrat\Flux financiers\Structure flux financier\Statut du flux financier;\Univers\Univers\Univers\Concept\Terme métier;Indique dans quel état se trouve le flux financier;3a83a572-81bd-446d-8d1a-e40076d197ad;Financial Flow State;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Informations Fonds\Statut du fonds;\Univers\Univers\Univers\Concept\Terme métier;"Statut du Fonds ou du Sous fonds : 

Non signé
Ouvert PN
Provisoire
Fermé PN
Clos
Désactivé
Gestion extinctive";76e903f6-7df3-4411-8c8b-bef6c577a95f;Fund status;
\Modèle Objets Métier - MOM\Tiers\Structuration\Organisation des banques\Statut du guichet bancaire;\Univers\Univers\Univers\Concept\Terme métier;"Situation guichet bancaire : 
1 : vivant, 
2 : transféré, 
3 : fermé
Le statut ""transféré"" intervient au sein d'une opération de fusion-absorption, quand les IBANs des clients sont transférés vers le guichet cible.";01d87351-e277-4389-a9b7-e9b3e42aaab7;Bank branch status;
\Modèle Objets Métier - MOM\Contrat\Flux financiers\Mandat de prélèvement\Statut du mandat;\Univers\Univers\Univers\Concept\Terme métier;Mandat actif ou inactif. Le mandat est inactif tant qu'il n'a pas été signé. Dans le cas ou des prélèvements n'ont pas été effectués pendant une période (36 mois), le mandat SEPA peut redevenir inactif.;f3391a2e-ab5b-4f5f-940a-bb7ed2da8fcb;Mandate Status;
\Modèle Objets Métier - MOM\Tiers\Notations - scores\Scores intrinsèques au Tiers\Statut du motif de risque;\Univers\Univers\Univers\Concept\Terme métier;"Le motif de risque survient (historisation) avec un statut qui peut être de type :
OP : Ouvert, lors de la création du motif de risque
CL : Fermé, lors de la clôture du motif de risque
PR : P. Probation, lors de la mise en probation du motif de risque
EX : Expiration, lors de l'expiration de la date prévisionnelle de sortie du motif de risque";c70a79be-2e35-4c90-a968-dc6bac9fab54;Risk Reason Status;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Eléments du projet\Statut du plan d'action;\Univers\Univers\Univers\Concept\Terme métier;Le plan d'action intervient en tant que livrable d'un diagnostic. Le statut  correspond à l'état du plan d’action proposé (dans le cadre, par exemple, du diagnostic Diag Eco-Flux de Bpifrance). Il indique si le plan d’action est en attente de validation, validé ou rejeté à la fin de l’analyse du dossier client. Ce statut permet ainsi de suivre la progression du plan d’action et de clarifier sa prise en charge par les différentes parties prenantes.;b841adad-d004-436a-a85b-be82196ac374;Action Plan Status;
\Modèle Objets Métier - MOM\Dossier\Caractéristiques Générales\Informations signalétiques\Statut du projet;\Univers\Univers\Univers\Concept\Terme métier;Statut du projet d'investissement (prospection, reçu, en attente, engagé...);b230bf44-92f4-4705-8245-f440386087ac;Deal status;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Autres Informations Personne Morale\Statut du rattachement à l’entité tête de groupe;\Univers\Univers\Univers\Concept\Terme métier;"Le statut du rattachement à l'entité tête de groupe peut être ACTIF, INACTIF ou NULL.
L'entité tête de groupe est une personne morale identifiée par un id tel que le SIREN, le LEI
 
Si le statut du rattachement est actif, on considère que l’entreprise est filiale d’une tête de groupe
Si le statut du rattachement est inactif ou null, il s’agit d’un lien périmé ou invalide, l’entreprise n’appartient plus au groupe initial.";5bdf0edf-9de5-48b6-87ae-5b0edff1483b;Entity group head attachment status;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Statuts dossier\Statut du sous-dossier;\Univers\Univers\Univers\Concept\Terme métier;Stade d'avancement du sous-dossier;9c1b46d1-b3d7-465a-9e51-fc2cd1574074;Customer Agreement Status;
\Modèle Objets Métier - MOM\Tiers\Informations de gestion\Suivi des contreparties en risque\Statut du suivi;\Univers\Univers\Univers\Concept\Terme métier;"Etat d'avancement du suivi.

Exemples :
Affecté
Analysé
Validé
(vide) par défaut";65961687-dc82-44ff-86f0-57468bc7ae81;Monitoring status;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Service\Caractéristique événements\Statut du webinaire;\Univers\Univers\Univers\Univers\Terme métier;Statut du webinaire (brouillon, à venir, …);9dd041ea-2f8b-4af7-ae24-e66206890e9a;Webinar status;
\Modèle Objets Métier - MOM\Contact\Conformité\Exercice des droits\Statut Exercice des droits;\Univers\Univers\Univers\Concept\Terme métier;Statut d'avancement de la résolution de la demande d'exercice des droits;56f49b9a-9193-4118-86b6-6ad7053ddd66;Rights Exercise Status;
\Modèle Objets Métier - MOM\Tiers\Données descriptives générales\Statut juridique\Statut filiation/ parenté;\Univers\Univers\Univers\Concept\Terme métier;Précision sur la société : est-elle une société pivot (mère), fille ou individuelle (pas d'appartenance à un groupe);d4208a9c-336c-48de-bb4d-594a5285f98f;Filiation / parent status;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Statut impayé;\Univers\Univers\Univers\Univers\Terme métier;"il s'agit de l'état dans lequel se trouve l'impayé : 
impayé généré
impayé recouvré
impayé clôturé";1f315121-05e3-48c8-81c2-47f95e669436;Overdue status;
\Modèle Objets Métier - MOM\Tiers\Données descriptives générales\Statut juridique\Statut juridique;\Univers\Univers\Univers\Concept\Terme métier;Statut juridique du Tiers - Exemple : SARL, SAS, …;df73ee2b-0a8f-4cfe-b473-f5f1ea8acf7a;Legal status;
\Modèle Objets Métier - MOM\Tiers\Données descriptives générales\Marché cible\Statut marché cible;\Univers\Univers\Univers\Univers\Terme métier;Appartenance ou non du tiers au marché cible de Bpifrance;494a4040-13db-4e40-9555-1fc73bdb9557;Target Market Status;
\Modèle Objets Métier - MOM\Contrat\Intervenants\Bénéficiaire\Statut performance bénéficiaire;\Univers\Univers\Univers\Concept\Terme métier;Statut de performance du bénéficiaire;bcf8a65f-e6a7-41fb-ac74-ef27123492d3;Payee performance status code;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Plans de financement\Statut plan de financement;\Univers\Univers\Univers\Univers\Terme métier;Statut indiquant le niveau d'étude / de maturité du plan de financement.K Il permet de savoir quel est le plan de financement sélectionné au final;36ea9b92-fa23-4ff1-8866-5f724aac56e6;Financial plan status;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Offre Commerciale\Tiers éligibles\Statut Réglementaire (niveau détaillé) Éligible;\Univers\Univers\Univers\Concept\Terme métier;Regulatory Statut Level 2 (performant, non performant) Eligible to the Customer Offer;e6cd2944-372b-4743-aa0e-435fb88d2eff;Eligible Regulatory status (Detailed Level);
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Offre Commerciale\Tiers éligibles\Statut Réglementaire (niveau global) Éligible;\Univers\Univers\Univers\Concept\Terme métier;Regulatory Statut Level 1 (performant, non performant) Eligible to the Customer Offer;28a97a7a-21ab-4d8a-8adf-dbfcdaf09a46;Eligible Regulatory Status (Global Level);
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Service\Caractéristiques de gestion\Statut Service Technique;\Univers\Univers\Univers\Concept\Terme métier;Statut du service. Exemples de valeurs : actif ou inactif, brouillon, publié, archivé;8ed25240-1741-4e94-b3ce-b2a0f60d348c;Technical Service Status;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifiques Fournisseur\Statut validation contrat fournisseur;\Univers\Univers\Univers\Concept\Terme métier;"Le ""Statut de validation du contrat fournisseur"" désigne l'état actuel du processus d'approbation et de validation d'un contrat établi entre une entreprise et un fournisseur. Ce statut peut inclure différentes étapes telles que la rédaction, la révision, l'approbation par les parties prenantes, la signature, et la mise en vigueur. Le statut de validation est essentiel pour suivre l'avancement du contrat, garantir sa conformité, et assurer une collaboration efficace avec le fournisseur.";e4bf4b9d-681c-492c-bbdd-5776a8102d0a;"Supplier Contract Validation Status
";
\Modèle Objets Métier - MOM\Tiers\Notations - scores\Scores intrinsèques au Tiers\Statut watch;\Univers\Univers\Univers\Concept\Terme métier;"Le statut Watch (BPI Investissement) peut prendre 3 valeurs possibles (BPI Investissement)
-Watch list
-NP
-0 Vide (pas de statut) à Tout ce qui n’est pas W ou NP (ex: Performant)";ebe8f149-ea70-4386-912b-bb9a5b0f9636;Watch Status;
\Modèle Objets Métier - MOM\Dossier\Intervenants\Tiers étudié\Structure Chef de file;\Univers\Univers\Univers\Concept\Terme métier;Le chef de file est la structure chef (leader) de file du consortium (projet innovation porté par plusieurs structures);aca7a000-6251-4265-ae6b-23b42852ca86;Pool leader;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Eléments du projet\Structure d'investissement;\Univers\Univers\Univers\Concept\Terme métier;Structure d'investissement dealflow;6032df74-b440-44b4-8bb0-9b919407ce57;Dealflow investment structure;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Eléments du projet\Structure d'investissement suivi;\Univers\Univers\Univers\Concept\Terme métier;Structure d'investissement suivi;36335c0a-8e3d-4a72-a9f1-296323087776;Investment structure (minorited);
\Modèle Objets Métier - MOM\Facture\Informations de livraison au niveau document\Adresse de livraison\Subdivision du pays;\Univers\Univers\Univers\Concept\Terme métier;Subdivision d'un pays. Exemple : région, comté, état, province, etc.;eed9e83d-1b07-4835-a5cd-6207f9c68911;Delivery address country subdivision name;
\Modèle Objets Métier - MOM\Facture\Ligne de facture\Adresse postale de livraison à la ligne\Subdivision Pays (si différent entête);\Univers\Univers\Univers\Concept\Terme métier;Subdivision d'un pays. Exemple : région, comté, état, province, etc.;254edc74-4898-42bb-a090-c4b217ec1bd1;Shipment address country subdivision name;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique crédit bail\subvention au moment de la levée d'option;\Univers\Univers\Univers\Concept\Terme métier;"La ""Subvention au moment de la levée d'option"" désigne le soutien financier accordé à un bénéficiaire au moment où il exerce une option, souvent dans le cadre de programmes de stock-options ou d'incitations à l'investissement. Cette subvention peut prendre la forme de fonds supplémentaires, de réductions de coût, ou d'autres avantages financiers qui facilitent l'exercice de l'option et encouragent l'engagement du bénéficiaire dans l'investissement ou le projet.";483f0994-38b9-4ee9-ad83-843f3bfa120d;"Grant at Option Exercise
";
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Subventions d'investissements;\Univers\Univers\Univers\Concept\Terme métier;"Catégorie - CAPITAUX PROPRES
Liasse Fiscale -2051
Code Champs -DJ
Code Altares -DJ
Description - Les subventions d’investissement sont des fonds versés  aux entreprises (généralement par des collectivités territoriales) qui sont destinés à financer des investissements, comme l’acquisition d’un véhicule ou de matériel informatique par exemple.";b1ffc099-9bb2-4b56-be2c-f862e41cac0f;Investments grants;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Subventions Exploitation;\Univers\Univers\Univers\Concept\Terme métier;La subvention d’exploitation, est une aide financière accordée par l’Etat ou certaines collectivités publiques au profit des entreprises. Elle permet de faire face à certaines charges d’exploitation, de compenser l’insuffisance de certains produits d’exploitation, ou encore de compenser la perte globale engendrée par un produit ou un service non rentable.;d01b95d7-5192-470e-9b86-163568784b85;Operating grants;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Autres Informations Personne Morale\Suivre les émissions générées par le transport entre le fabriquant et client final;\Univers\Univers\Univers\Concept\Terme métier;"Donnée de questionnaire à destination des entreprises investies Marketplace : l'entreprise a-t-elle mis en place un suivi sur les émissions générées par le transport entre le fabriquant et client final (en y intégrant le transporteur jusqu'au vendeur) 
Suivre les émissions générées par le transport entre le fabriquant et client final (en y intégrant le transporteur jusqu'au vendeur)";53ee2170-d7af-477a-b473-c0e6c95d2ffc;Emissions Generated Monitoring Implementation Level;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Superficie à rénover;\Univers\Univers\Univers\Concept\Terme métier;Il s'agit de la superficie exprimée en mètre carré (m²) de la surface  affectée  à la rénovation;a3564c18-898e-4ac5-965b-169976d7f493;Area to be renovated;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Superficie emprise foncière;\Univers\Univers\Univers\Concept\Terme métier;Désigne la superficie du terrain d'assise du projet soit la superficie (en m2) de la parcelle accueillant le bien. Cette emprise foncière peut être composée d'une ou plusieurs parcelles cadastrales.;4f39159f-c7a5-468e-ad2f-f0397b023ec9;Land holdings area;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Superficie réserve foncière;\Univers\Univers\Univers\Concept\Terme métier;Partie du terrain non nécessaire à la construction de l'immeuble et qui pourra être utilisée en cas d'extension, superficie exprimée en m2;8a1beba3-c35c-4aa5-b400-ebbda9eac562;Land reserve area;
\Modèle Objets Métier - MOM\Sûretés\Sûretés réelles\Sûretés réelles financières\Sûreté réelle financière;\Univers\Univers\Univers\Univers\Terme métier;"Sûreté financière consentie apportée par un bien ou un droit réel. Par extension, et en particulier dans le contexte bâlois, une sûreté réelle est connue comme « collateral ». Exemples de valeur:
- Délégations d'assurance vie
- Dépôt de garantie
- Garantie Bpifrance Financement
- Garantie IFCIC
- Nantissement de parts (selon nature juridique de la société)";413f1d20-9e2a-4105-b85d-54de5976d3d8;Financial Real Collateral;
\Modèle Objets Métier - MOM\Sûretés\Sûretés réelles\Sûretés réelles non financières\Sûreté réelle non financière;\Univers\Univers\Univers\Univers\Terme métier;"Sûreté non financière consentie apportée par un bien ou un droit réel. Par extension, et en particulier dans le contexte bâlois, une sûreté réelle est connue comme « collateral ». Exemples de valeur:
- Cession Dailly 
- Cession des créances
- Délégation des loyers de sous location,
- Gage
- Hypothèque
- Nantissement créance, fonds de commerce, matériel";a98deb49-b212-440f-92a2-98d9f49d9fc6;Non-Financial Real Collateral;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Surface (de) plancher;\Univers\Univers\Univers\Concept\Terme métier;"Désigne la surface globale du bien (en m2) quelque soit les zones de l'immeuble (ex: partie atelier, stockage et bureaux d'accompagnement). La taille de l'immeuble comprend également la surface des extensions successives, (y compris extension liée à la valorisation en cours) en plus de la surface initiale.
Cette information peut être récupérée via des sources externes (ADEME & SDES) ou internes (Service SIEE via OVI/SVS/EVE).";1a3d0955-1845-4a0e-92a9-5e0c58638dfd;Asset floor area;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Surface affectée à la rénovation;\Univers\Univers\Univers\Concept\Terme métier;"Il s'agit de la partie du bien qui devra faire l'objet de rénovation
Dans ce cadre,  l'expert précise si elle porte sur la totalité du bien ou partiellement.
Valeurs possibles:
Totale
Partielle";624da3e9-8b16-43fa-a5fc-d3c60362a68e;Area assigned to the Renovation;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique crédit bail\Surface affectée au bail;\Univers\Univers\Univers\Concept\Terme métier;désigne la surface louée au titre d'un bail. Cette surface peut s'exprimer en m2.;f084cfe0-bb05-474d-8c57-42519a46d81d;Area assigned to the lease;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Autres Informations Personne Morale\Surface des espaces verts par occupant3 (m2/occupant);\Univers\Univers\Univers\Concept\Terme métier;Donnée de questionnaire à destination des entreprises investies Immobilier : l'entreprise a-t-elle mis en place un suivi sur la surface des espaces verts par occupant3 (m2/occupant);4515aa9c-bcda-4bde-ac85-c2889ce24fc4;Green Spaces Monitoring Level;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique crédit bail\Surface du bail de propriété;\Univers\Univers\Univers\Concept\Terme métier;Surface du bail de site d'un tiers propriétaire  en m2;4d4ab25e-1248-439b-8f13-9d8650499b92;amount owner surface;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique crédit bail\Surface total du bail;\Univers\Univers\Univers\Concept\Terme métier;Désigne le cumul des surfaces louées en m².;1c30b56d-aaf6-4c52-9cd2-b5a6fcb879b5;Total leased area;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique crédit bail\Surloyer;\Univers\Univers\Univers\Concept\Terme métier;Désigne une augmentation du loyer mentionné au bail;f9a85af7-6b53-4150-a77f-f403c966f352;Over Rent;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Synthèse Analyse du bien;\Univers\Univers\Univers\Concept\Terme métier;"Note intermédiaire permettant de qualifier la synthèse globale de la valorisation.C'est la synthèse de la taille, de l'âge et de l'état du bien et de ses caractérisqtiques techniques
 Note possible : Très faible, faible, moyen, satisfaisant, excellent";558f77dd-cb86-436b-a7c9-118ed41e3674;Property analysis Synthesis;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Synthèse droits immobiliers;\Univers\Univers\Univers\Concept\Terme métier;"Note intermédiaire permettant de qualifier la synthèse globale de la valorisation.C'est la synthèse des droits de construction, de servitude
 Note possible : Très faible, faible, moyen, satisfaisant, excellent";355f0e48-df04-44fa-ac0c-b2ce223919f0;Real estate rights Synthesis;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Synthèse Environnement et règlementations;\Univers\Univers\Univers\Concept\Terme métier;"Note intermédiaire permettant de qualifier la synthèse globale de la valorisation. C'est la synthèse de l'exposition du bien à des risques de règlementation et de conformité.
Note possible : Très faible, faible, moyen, satisfaisant, excellent";c0a6a3da-c1a7-4184-8870-9a849b412ae0;Environment and regulations Synthesis;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Synthèse globale;\Univers\Univers\Univers\Concept\Terme métier;"Synthèse globale de la valorisation.
 Note possible : Très faible, faible, moyen, satisfaisant, excellent";c5068d59-a519-4660-abc0-8863746d2d8a;Global Synthesis;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Synthèse Localisation;\Univers\Univers\Univers\Concept\Terme métier;"Note intermédiaire permettant de qualifier la synthèse globale de la valorisation. C'est la synthèse du potentiel du bassin, de l'emplacement et du voisinage du bien.
Note possible : Très faible, faible, moyen, satisfaisant, excellent";17ec8cd1-4f5c-4eb4-af16-dd8c25966f10;Location Synthesis;
\Modèle Objets Métier - MOM\Tiers\Notations - scores\Scores liés à l'octroi\Système de notation;\Univers\Univers\Univers\Concept\Terme métier;"C’est un outil de pilotage
En matière d’étude et de décision, il contribue à « objectiver » l’analyse du risque des opérations envers la clientèle et à optimiser la recherche de garanties et sûretés.
C'est aussi un outil de suivi des risques. Il :
 - Constitue un instrument indispensable de connaissance de nos risques. Il permet de suivre l'évolution globale de la qualité de notre portefeuille. Il est aussi le révélateur de l’existence d’écarts ou le témoin de l’apparition de disparités régionales ou sectorielles par rapport à l’évolution d’ensemble
 - Répond aux obligations réglementaires définies par les articles 108, 114 et 118 de l’arrêté du 3 novembre 2014 en matière de suivi des engagements.";b5910130-1753-41af-ad8d-b8473df4d43a;Scoring system;
\Modèle Objets Métier - MOM\Tiers\Notations - scores\Notation liées à la gestion des contrats\Système de notation contrat;\Univers\Univers\Univers\Concept\Terme métier;"C’est un outil de pilotage?
En matière d’étude et de décision, il contribue à « objectiver » l’analyse du risque des opérations envers la clientèle et à optimiser la recherche de garanties et sûretés.?
C'est aussi un outil de suivi des risques. Il :?
Constitue un instrument indispensable de connaissance de nos risques. Il permet de suivre l'évolution globale de la qualité de notre portefeuille. Il est aussi le révélateur de l’existence d’écarts ou le témoin de l’apparition de disparités régionales ou sectorielles par rapport à l’évolution d’ensemble?
Répond aux obligations réglementaires définies par les articles 108, 114 et 118 de l’arrêté du 3 novembre 2014 en matière de suivi des engagements.";dcb38b15-adec-4ad6-88bd-4fcb2133699d;Scoring system;
\Modèle Objets Métier - MOM\Contrat\Identification contrat\Identifications locales\Système Source;\Univers\Univers\Univers\Concept\Terme métier;"Application référencée dans le catalogue de Bpifrance. C'est, dans le cadre du reporting anacrédit, l'application à l'origine de la création du contrat.
toutes les applications du système d'information Bpifrance sont référencées dans l'application Nextgen et identifiées de façon unique à l'aide d'un trigramme.";2a88b16f-594a-409b-8cea-6bbe4e37d656;source Information System;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Autres Informations Personne Morale\Systèmes de partage d'informations sur les consommations avec les locataires et occupants;\Univers\Univers\Univers\Concept\Terme métier;Donnée de questionnaire à destination des entreprises investies Immobilier : l'entreprise a-t-elle mis en place un suivi sur les systèmes de partage d'informations sur les consommations avec les locataires et occupants;0fda94d5-b702-46f8-ab4b-a281e9c87d04;Consumption Sharing Information Implementation Level;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques générales\Informations de contractualisation\T4M;\Univers\Univers\Univers\Univers\Terme métier;"Le T4M ou taux moyen mensuel était un indice de référence du marché monétaire français.
Le T4M existait avant le passage à l’€uro. Maintenant le calcul du T4M est basé sur l’EONIA. Il est égal à la moyenne arithmétique des taux journaliers EONIA.";2a2bedab-7d0e-45e0-b38a-cbfcdd88376f;T4M Index;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Modalités du projet\Table des factors;\Univers\Univers\Univers\Concept\Terme métier;Liste des factors qui ont effectué l'affacturage.Exemples de valeurs : BNP FactorCGAFactofranceFFFSOFIRECTRANSFACAutre;609f0aa0-7da4-4a62-8564-066146c56eda;Factor List;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\TAEG - Taux Annuel Effectif Global;\Univers\Univers\Univers\Univers\Terme métier;"Le taux annuel effectif global (TAEG) est le taux « tout compris » d'un crédit. Le taux effectif global représente le coût du financement. Il permet à l’emprunteur de comparer le cout de son financement parmi les différentes banques qu’il entend solliciter. Ce coût intègre tous les coûts liés à l’octroi du crédit notamment les intérêts, les frais de dossier, les frais d’assurance, de garantie, d’hypothèque. 
Il comprend notamment le taux utilisé pour calculer les intérêts du prêt (taux nominal), et les frais liés aux éléments qui constituent une condition pour obtenir le crédit, ou pour l'obtenir selon les critères retenus dans l'offre :
Frais de dossier
Frais payés ou dus à des intermédiaires qui interviennent dans l'octroi du prêt (courtier)
Frais d'assurance obligatoire et de garanties obligatoires.
Il peut y avoir quelques différences entre les frais d'un crédit à la consommation et les frais d'un crédit immobilier.";a6181fe0-9dbd-43de-9401-6f7ad11253a6;Annual Percentage Rate of Charge (APR);
